流水	装备id	进阶品阶	需求角色等级	进阶增加属性	进阶消耗材料	进阶消耗银币
20720	equip302110442006	14	90	1,6981;21,1106;24,1389	item103015110413,1800;item103015110303,210;item103015110416,108;item103015110412,1	4500000
20721	equip302110443001	1	48	1,265;21,43;24,54	item103015110413,30;item103015110303,3	50000
20722	equip302110443001	2	48	1,531;21,87;24,109	item103015110413,50;item103015110303,5	100000
20723	equip302110443001	3	48	1,850;21,139;24,174	item103015110413,70;item103015110303,12	150000
20724	equip302110443001	4	48	1,1222;21,200;24,251	item103015110413,100;item103015110303,20	200000
20725	equip302110443001	5	55	1,1647;21,269;24,338	item103015110413,150;item103015110303,30;item103015110412,1	250000
20726	equip302110443001	6	60	1,2126;21,348;24,436	item103015110413,200;item103015110303,30;item103015110412,1	500000
20727	equip302110443001	7	65	1,2604;21,426;24,535	item103015110413,300;item103015110303,30;item103015110416,10;item103015110412,1	1000000
20728	equip302110443001	8	70	1,3136;21,513;24,644	item103015110413,400;item103015110303,40;item103015110416,16;item103015110412,1	1500000
20729	equip302110443001	9	75	1,3668;21,600;24,753	item103015110413,500;item103015110303,50;item103015110416,24;item103015110412,1	2000000
20730	equip302110443001	10	80	1,4252;21,696;24,873	item103015110413,750;item103015110303,80;item103015110416,40;item103015110412,1	2500000
20731	equip302110443001	11	85	1,4890;21,800;24,1004	item103015110413,1000;item103015110303,110;item103015110416,56;item103015110412,1	3000000
20732	equip302110443001	12	90	1,5581;21,913;24,1146	item103015110413,1250;item103015110303,140;item103015110416,72;item103015110412,1	3500000
20733	equip302110443001	13	90	1,6326;21,1035;24,1299	item103015110413,1500;item103015110303,170;item103015110416,88;item103015110412,1	4000000
20734	equip302110443001	14	90	1,7123;21,1165;24,1463	item103015110413,1800;item103015110303,210;item103015110416,108;item103015110412,1	4500000
20735	equip302110443002	1	48	1,232;21,38;24,40	item103015110413,30;item103015110303,3	50000
20736	equip302110443002	2	48	1,465;21,76;24,80	item103015110413,50;item103015110303,5	100000
20737	equip302110443002	3	48	1,744;21,121;24,128	item103015110413,70;item103015110303,12	150000
20738	equip302110443002	4	48	1,1070;21,175;24,185	item103015110413,100;item103015110303,20	200000
20739	equip302110443002	5	55	1,1443;21,235;24,249	item103015110413,150;item103015110303,30;item103015110412,1	250000
20740	equip302110443002	6	60	1,1862;21,304;24,322	item103015110413,200;item103015110303,30;item103015110412,1	500000
20741	equip302110443002	7	65	1,2281;21,372;24,394	item103015110413,300;item103015110303,30;item103015110416,10;item103015110412,1	1000000
20742	equip302110443002	8	70	1,2747;21,448;24,475	item103015110413,400;item103015110303,40;item103015110416,16;item103015110412,1	1500000
20743	equip302110443002	9	75	1,3212;21,525;24,556	item103015110413,500;item103015110303,50;item103015110416,24;item103015110412,1	2000000
20744	equip302110443002	10	80	1,3724;21,608;24,644	item103015110413,750;item103015110303,80;item103015110416,40;item103015110412,1	2500000
20745	equip302110443002	11	85	1,4283;21,700;24,741	item103015110413,1000;item103015110303,110;item103015110416,56;item103015110412,1	3000000
20746	equip302110443002	12	90	1,4888;21,799;24,846	item103015110413,1250;item103015110303,140;item103015110416,72;item103015110412,1	3500000
20747	equip302110443002	13	90	1,5540;21,905;24,959	item103015110413,1500;item103015110303,170;item103015110416,88;item103015110412,1	4000000
20748	equip302110443002	14	90	1,6239;21,1019;24,1080	item103015110413,1800;item103015110303,210;item103015110416,108;item103015110412,1	4500000
20749	equip302110443003	1	48	1,240;21,59;24,45	item103015110413,30;item103015110303,3	50000
20750	equip302110443003	2	48	1,480;21,119;24,90	item103015110413,50;item103015110303,5	100000
20751	equip302110443003	3	48	1,768;21,191;24,144	item103015110413,70;item103015110303,12	150000
20752	equip302110443003	4	48	1,1104;21,275;24,207	item103015110413,100;item103015110303,20	200000
20753	equip302110443003	5	55	1,1488;21,371;24,279	item103015110413,150;item103015110303,30;item103015110412,1	250000
20754	equip302110443003	6	60	1,1921;21,478;24,360	item103015110413,200;item103015110303,30;item103015110412,1	500000
20755	equip302110443003	7	65	1,2353;21,586;24,441	item103015110413,300;item103015110303,30;item103015110416,10;item103015110412,1	1000000
20756	equip302110443003	8	70	1,2833;21,706;24,531	item103015110413,400;item103015110303,40;item103015110416,16;item103015110412,1	1500000
20757	equip302110443003	9	75	1,3314;21,825;24,621	item103015110413,500;item103015110303,50;item103015110416,24;item103015110412,1	2000000
20758	equip302110443003	10	80	1,3842;21,957;24,720	item103015110413,750;item103015110303,80;item103015110416,40;item103015110412,1	2500000
20759	equip302110443003	11	85	1,4418;21,1101;24,828	item103015110413,1000;item103015110303,110;item103015110416,56;item103015110412,1	3000000
20760	equip302110443003	12	90	1,5043;21,1256;24,946	item103015110413,1250;item103015110303,140;item103015110416,72;item103015110412,1	3500000
20761	equip302110443003	13	90	1,5715;21,1424;24,1072	item103015110413,1500;item103015110303,170;item103015110416,88;item103015110412,1	4000000
20762	equip302110443003	14	90	1,6436;21,1603;24,1207	item103015110413,1800;item103015110303,210;item103015110416,108;item103015110412,1	4500000
20763	equip302110443004	1	48	1,259;21,54;24,49	item103015110413,30;item103015110303,3	50000
20764	equip302110443004	2	48	1,518;21,108;24,99	item103015110413,50;item103015110303,5	100000
20765	equip302110443004	3	48	1,829;21,174;24,159	item103015110413,70;item103015110303,12	150000
20766	equip302110443004	4	48	1,1191;21,250;24,228	item103015110413,100;item103015110303,20	200000
20767	equip302110443004	5	55	1,1606;21,337;24,308	item103015110413,150;item103015110303,30;item103015110412,1	250000
20768	equip302110443004	6	60	1,2072;21,435;24,398	item103015110413,200;item103015110303,30;item103015110412,1	500000
20769	equip302110443004	7	65	1,2539;21,533;24,487	item103015110413,300;item103015110303,30;item103015110416,10;item103015110412,1	1000000
20770	equip302110443004	8	70	1,3057;21,641;24,587	item103015110413,400;item103015110303,40;item103015110416,16;item103015110412,1	1500000
20771	equip302110443004	9	75	1,3575;21,750;24,686	item103015110413,500;item103015110303,50;item103015110416,24;item103015110412,1	2000000
20772	equip302110443004	10	80	1,4145;21,870;24,796	item103015110413,750;item103015110303,80;item103015110416,40;item103015110412,1	2500000
20773	equip302110443004	11	85	1,4767;21,1000;24,915	item103015110413,1000;item103015110303,110;item103015110416,56;item103015110412,1	3000000
20774	equip302110443004	12	90	1,5441;21,1142;24,1044	item103015110413,1250;item103015110303,140;item103015110416,72;item103015110412,1	3500000
20775	equip302110443004	13	90	1,6166;21,1294;24,1184	item103015110413,1500;item103015110303,170;item103015110416,88;item103015110412,1	4000000
20776	equip302110443004	14	90	1,6943;21,1457;24,1333	item103015110413,1800;item103015110303,210;item103015110416,108;item103015110412,1	4500000
20777	equip302110443005	1	48	1,247;21,49;24,35	item103015110413,30;item103015110303,3	50000
20778	equip302110443005	2	48	1,495;21,98;24,71	item103015110413,50;item103015110303,5	100000
20779	equip302110443005	3	48	1,792;21,156;24,113	item103015110413,70;item103015110303,12	150000
20780	equip302110443005	4	48	1,1139;21,225;24,163	item103015110413,100;item103015110303,20	200000
20781	equip302110443005	5	55	1,1535;21,303;24,220	item103015110413,150;item103015110303,30;item103015110412,1	250000
20782	equip302110443005	6	60	1,1981;21,392;24,284	item103015110413,200;item103015110303,30;item103015110412,1	500000
20783	equip302110443005	7	65	1,2426;21,480;24,348	item103015110413,300;item103015110303,30;item103015110416,10;item103015110412,1	1000000
20784	equip302110443005	8	70	1,2922;21,578;24,420	item103015110413,400;item103015110303,40;item103015110416,16;item103015110412,1	1500000
20785	equip302110443005	9	75	1,3417;21,676;24,491	item103015110413,500;item103015110303,50;item103015110416,24;item103015110412,1	2000000
20786	equip302110443005	10	80	1,3962;21,784;24,569	item103015110413,750;item103015110303,80;item103015110416,40;item103015110412,1	2500000
20787	equip302110443005	11	85	1,4556;21,901;24,655	item103015110413,1000;item103015110303,110;item103015110416,56;item103015110412,1	3000000
20788	equip302110443005	12	90	1,5200;21,1029;24,747	item103015110413,1250;item103015110303,140;item103015110416,72;item103015110412,1	3500000
20789	equip302110443005	13	90	1,5894;21,1166;24,847	item103015110413,1500;item103015110303,170;item103015110416,88;item103015110412,1	4000000
20790	equip302110443005	14	90	1,6637;21,1313;24,954	item103015110413,1800;item103015110303,210;item103015110416,108;item103015110412,1	4500000
20791	equip302110443006	1	48	1,274;21,43;24,54	item103015110413,30;item103015110303,3	50000
20792	equip302110443006	2	48	1,548;21,87;24,109	item103015110413,50;item103015110303,5	100000
20793	equip302110443006	3	48	1,877;21,139;24,174	item103015110413,70;item103015110303,12	150000
20794	equip302110443006	4	48	1,1261;21,200;24,251	item103015110413,100;item103015110303,20	200000
20795	equip302110443006	5	55	1,1700;21,269;24,338	item103015110413,150;item103015110303,30;item103015110412,1	250000
20796	equip302110443006	6	60	1,2194;21,348;24,436	item103015110413,200;item103015110303,30;item103015110412,1	500000
20797	equip302110443006	7	65	1,2687;21,426;24,535	item103015110413,300;item103015110303,30;item103015110416,10;item103015110412,1	1000000
20798	equip302110443006	8	70	1,3236;21,513;24,644	item103015110413,400;item103015110303,40;item103015110416,16;item103015110412,1	1500000
20799	equip302110443006	9	75	1,3784;21,600;24,753	item103015110413,500;item103015110303,50;item103015110416,24;item103015110412,1	2000000
20800	equip302110443006	10	80	1,4388;21,696;24,873	item103015110413,750;item103015110303,80;item103015110416,40;item103015110412,1	2500000
20801	equip302110443006	11	85	1,5046;21,800;24,1004	item103015110413,1000;item103015110303,110;item103015110416,56;item103015110412,1	3000000
20802	equip302110443006	12	90	1,5759;21,913;24,1146	item103015110413,1250;item103015110303,140;item103015110416,72;item103015110412,1	3500000
20803	equip302110443006	13	90	1,6527;21,1035;24,1299	item103015110413,1500;item103015110303,170;item103015110416,88;item103015110412,1	4000000
20804	equip302110443006	14	90	1,7349;21,1165;24,1463	item103015110413,1800;item103015110303,210;item103015110416,108;item103015110412,1	4500000
20805	equip303110441001	1	48	4,22;23,59;26,41	item103015110413,30;item103015110302,2	50000
20806	equip303110441001	2	48	4,44;23,119;26,83	item103015110413,50;item103015110302,8	100000
20807	equip303110441001	3	48	4,71;23,191;26,132	item103015110413,70;item103015110302,15	150000
20808	equip303110441001	4	48	4,102;23,275;26,191	item103015110413,100;item103015110302,30	200000
20809	equip303110441001	5	55	4,137;23,371;26,257	item103015110413,150;item103015110302,42;item103015110412,1	250000
20810	equip303110441001	6	60	4,177;23,479;26,332	item103015110413,200;item103015110302,48;item103015110412,1	500000
20811	equip303110441001	7	65	4,217;23,587;26,407	item103015110413,300;item103015110302,48;item103015110415,10;item103015110412,1	1000000
20812	equip303110441001	8	70	4,261;23,707;26,490	item103015110413,400;item103015110302,60;item103015110415,20;item103015110412,1	1500000
20813	equip303110441001	9	75	4,306;23,827;26,573	item103015110413,500;item103015110302,75;item103015110415,30;item103015110412,1	2000000
20814	equip303110441001	10	80	4,355;23,959;26,664	item103015110413,750;item103015110302,100;item103015110415,50;item103015110412,1	2500000
20815	equip303110441001	11	85	4,408;23,1103;26,764	item103015110413,1000;item103015110302,125;item103015110415,70;item103015110412,1	3000000
20816	equip303110441001	12	90	4,466;23,1258;26,872	item103015110413,1250;item103015110302,150;item103015110415,90;item103015110412,1	3500000
20817	equip303110441001	13	90	4,528;23,1426;26,988	item103015110413,1500;item103015110302,175;item103015110415,110;item103015110412,1	4000000
20818	equip303110441001	14	90	4,594;23,1606;26,1113	item103015110413,1800;item103015110302,220;item103015110415,140;item103015110412,1	4500000
20819	equip303110441002	1	48	4,20;23,66;26,32	item103015110413,30;item103015110302,2	50000
20820	equip303110441002	2	48	4,41;23,133;26,65	item103015110413,50;item103015110302,8	100000
20821	equip303110441002	3	48	4,66;23,213;26,105	item103015110413,70;item103015110302,15	150000
20822	equip303110441002	4	48	4,94;23,306;26,151	item103015110413,100;item103015110302,30	200000
20823	equip303110441002	5	55	4,128;23,412;26,204	item103015110413,150;item103015110302,42;item103015110412,1	250000
20824	equip303110441002	6	60	4,165;23,532;26,263	item103015110413,200;item103015110302,48;item103015110412,1	500000
20825	equip303110441002	7	65	4,202;23,652;26,322	item103015110413,300;item103015110302,48;item103015110415,10;item103015110412,1	1000000
20826	equip303110441002	8	70	4,243;23,785;26,388	item103015110413,400;item103015110302,60;item103015110415,20;item103015110412,1	1500000
20827	equip303110441002	9	75	4,284;23,919;26,454	item103015110413,500;item103015110302,75;item103015110415,30;item103015110412,1	2000000
20828	equip303110441002	10	80	4,330;23,1065;26,527	item103015110413,750;item103015110302,100;item103015110415,50;item103015110412,1	2500000
20829	equip303110441002	11	85	4,379;23,1225;26,606	item103015110413,1000;item103015110302,125;item103015110415,70;item103015110412,1	3000000
20830	equip303110441002	12	90	4,433;23,1398;26,691	item103015110413,1250;item103015110302,150;item103015110415,90;item103015110412,1	3500000
20831	equip303110441002	13	90	4,491;23,1585;26,784	item103015110413,1500;item103015110302,175;item103015110415,110;item103015110412,1	4000000
20832	equip303110441002	14	90	4,553;23,1784;26,883	item103015110413,1800;item103015110302,220;item103015110415,140;item103015110412,1	4500000
20833	equip303110441003	1	48	4,20;23,46;26,28	item103015110413,30;item103015110302,2	50000
20834	equip303110441003	2	48	4,40;23,93;26,57	item103015110413,50;item103015110302,8	100000
20835	equip303110441003	3	48	4,65;23,149;26,91	item103015110413,70;item103015110302,15	150000
20836	equip303110441003	4	48	4,93;23,214;26,131	item103015110413,100;item103015110302,30	200000
20837	equip303110441003	5	55	4,126;23,289;26,177	item103015110413,150;item103015110302,42;item103015110412,1	250000
20838	equip303110441003	6	60	4,162;23,373;26,228	item103015110413,200;item103015110302,48;item103015110412,1	500000
20839	equip303110441003	7	65	4,199;23,457;26,280	item103015110413,300;item103015110302,48;item103015110415,10;item103015110412,1	1000000
20840	equip303110441003	8	70	4,240;23,550;26,337	item103015110413,400;item103015110302,60;item103015110415,20;item103015110412,1	1500000
